,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,[#6]:[#6]:[#6](-[#17]):[#6]:[#6],[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6],[#6]-[#8]-[#6](:[#6]):[#6],[#6]-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,[#6]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17],[#6]:[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#6](:[#6]):[#6]):[#6]:[#6]:1,[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#6]):[#6]:1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]-[#6]):[#6]:[#6]:1,[#6]:[#6](-[#6](-[#7])=[#8]):[#6],[#6]-[#8]-[#6](-[#9])(-[#9])-[#9],[#6]-[#7]1-[#6]-[#6]-[#7](-[#6](:[#6]):[#6])-[#6]-[#6]-1,[#6]:[#7]:[#6](-[#7]-[#6](:[#6]:[#6]):[#6]:[#6]):[#7]:[#6],[#7]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17],[#7]1-[#6]-[#6]-[#7](-[#6]-[#6](:[#6]):[#6])-[#6]-[#6]-1,[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-1,[#6]:[#6]:[#6](-[#9]):[#6](-[#9]):[#6],[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8],[#8]-[#6]1:[#6]:[#6]:[#6](-[#6](:[#6]):[#6]):[#6]:[#6]:1,[#6]:[#6](-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1):[#6]
ACHE,0.546290972,0.473835538,0.792409431,0.898792409,0.756181714,0.848763657,0.267970098,0.901667625,0.605520414,0.400230017,0.0,0.630822312,0.207015526,0.899942496,0.15439908,0.513801035,0.0,0.96147211,0.0,0.0,0.0,0.282921219,0.0,0.0,0.0,0.925244393,0.92466935,0.0
ACVR1,0.0,0.0,0.136645963,0.0,0.0,0.0,0.0,0.860248447,0.285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA1A,0.660377358,0.0,0.0,0.787735849,0.849056604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235849057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.948113208,0.0,0.0
ADRA2A,0.475728155,0.0,0.0,0.0,0.0,0.0,0.174757282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689320388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2B,0.646666667,0.0,0.513333333,0.0,0.0,0.0,0.113333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2C,0.408602151,0.0,0.182795699,0.0,0.408602151,0.0,0.408602151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532258065,0.0,0.0
ADRB1,0.896174863,0.079234973,0.0,0.896174863,0.0,0.0,0.079234973,0.896174863,0.0,0.0,0.650273224,0.0,0.0,0.0,0.0,0.0,0.0,0.177595628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB2,0.011857708,0.0,0.0,0.90513834,0.0,0.505928854,0.0,0.853754941,0.0,0.0,0.468379447,0.0,0.0,0.0,0.980237154,0.0,0.586956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741106719,0.0,0.0
AGTR1,0.322134387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGTR2,0.090163934,0.090163934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.295081967,0.0,0.799180328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR1C3,0.540069686,0.216027875,0.0,0.216027875,0.351916376,0.588850174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.837979094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKT1,0.295180723,0.151606426,0.840863454,0.0,0.503012048,0.0,0.0,0.0,0.0,0.549196787,0.0,0.861947791,0.0,0.0,0.0,0.0,0.235441767,0.0,0.0,0.0,0.0,0.0,0.587349398,0.616967871,0.0,0.0,0.0,0.0
ALDH1A1,0.116438356,0.0,0.869863014,0.0,0.0,0.0,0.431506849,0.0,0.0,0.0,0.0,0.0,0.565068493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALOX5,0.670091324,0.873287671,0.843607306,0.611872146,0.328767123,0.348173516,0.606164384,0.523972603,0.807077626,0.734018265,0.0,0.765981735,0.0,0.0,0.0,0.823059361,0.0,0.007990868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322488584,0.0,0.975456621
AR,0.581885856,0.186104218,0.080645161,0.79528536,0.504342432,0.0,0.0,0.867866005,0.478908189,0.205955335,0.449131514,0.82133995,0.0,0.0,0.766129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKA,0.128488372,0.151162791,0.674418605,0.562790698,0.404651163,0.793023256,0.409302326,0.668604651,0.0,0.0,0.0,0.226744186,0.0,0.0,0.0,0.0,0.865116279,0.818023256,0.51744186,0.672093023,0.566860465,0.406976744,0.690697674,0.936627907,0.679069767,0.0,0.0,0.0
BRAF,0.0,0.0,0.476236663,0.0,0.258971872,0.365664403,0.0,0.711445199,0.319107662,0.0,0.0,0.0,0.868089234,0.0,0.0,0.0,0.0,0.383608147,0.0,0.874878758,0.327837051,0.0,0.0,0.0,0.429679922,0.0,0.0,0.628516004
CCKAR,0.0,0.0,0.0,0.0,0.0,0.862831858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477876106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451327434,0.0
CDK1,0.0,0.354368932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677184466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK2,0.426470588,0.0,0.431149733,0.045454545,0.0,0.485294118,0.0,0.239973262,0.0,0.326203209,0.06684492,0.159759358,0.0,0.75868984,0.0,0.0,0.0,0.0,0.296791444,0.64171123,0.0,0.213903743,0.0,0.0,0.0,0.947192513,0.0,0.0
CFTR,0.940789474,0.513157895,0.0,0.651315789,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHRM1,0.519230769,0.564102564,0.0,0.394230769,0.0,0.0,0.426282051,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP19A1,0.384892086,0.099520384,0.586330935,0.42206235,0.685851319,0.612709832,0.0,0.03057554,0.0,0.71942446,0.661270983,0.428057554,0.979016787,0.0,0.32793765,0.45263789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726019185,0.231414868,0.0
CYP1B1,0.69005848,0.421052632,0.0,0.0,0.789473684,0.31871345,0.0,0.0,0.900584795,0.0,0.0,0.578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRD2,0.082251082,0.246753247,0.543290043,0.0,0.543290043,0.0,0.264069264,0.0,0.0,0.543290043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497835498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRD3,0.0,0.0,0.284722222,0.215277778,0.173611111,0.0,0.111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715277778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRD4,0.405797101,0.210144928,0.0,0.637681159,0.0,0.652173913,0.84057971,0.0,0.0,0.0,0.949275362,0.706521739,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.768115942,0.0,0.0,0.0,0.0,0.0,0.0
EDNRB,0.624293785,0.336158192,0.838983051,0.502824859,0.0,0.298022599,0.451977401,0.059322034,0.63700565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683615819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628531073,0.0,0.0
EGFR,0.658817373,0.409209838,0.302459445,0.425431711,0.0,0.452642595,0.355311355,0.0,0.0,0.519623234,0.0,0.56043956,0.184196756,0.107273679,0.0,0.0,0.663003663,0.0,0.717425432,0.551020408,0.0,0.020669806,0.0,0.0,0.004971219,0.0,0.0,0.77603349
ERBB2,0.520231214,0.960982659,0.0,0.833815029,0.0,0.223988439,0.979768786,0.0,0.0,0.0,0.0,0.0,0.0,0.261560694,0.0,0.0,0.0,0.0,0.967485549,0.0,0.0,0.0,0.63150289,0.0,0.01083815,0.0,0.0,0.0
ESR1,0.255936675,0.416886544,0.452506596,0.751978892,0.934036939,0.643799472,0.0,0.0,0.435356201,0.0,0.0,0.0,0.0,0.365435356,0.592348285,0.538258575,0.0,0.727572559,0.0,0.0,0.0,0.0,0.894459103,0.0,0.0,0.0,0.0,0.0
ESR2,0.628040057,0.646638054,0.391988555,0.579399142,0.356223176,0.0,0.0,0.922031474,0.027896996,0.0,0.0,0.0,0.0,0.0,0.539341917,0.25751073,0.0,0.0,0.0,0.0,0.943490701,0.0,0.359084406,0.0,0.0,0.0,0.962804006,0.0
ESRRA,0.0,0.0,0.0,0.0625,0.451923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHSR,0.755154639,0.755154639,0.460051546,0.711340206,0.0,0.770618557,0.0,0.0,0.512886598,0.0,0.698453608,0.0,0.12242268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583762887,0.0,0.0
GNRHR,0.0,0.64556962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624472574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278481013,0.0,0.0,0.0,0.0,0.0,0.0
GSK3B,0.0,0.243503369,0.869104909,0.816169394,0.450433109,0.345524543,0.902791145,0.551973051,0.297401347,0.64292589,0.671799808,0.344562079,0.811357074,0.0,0.447064485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.811357074,0.0,0.0,0.855630414
HCRTR1,0.121908127,0.473498233,0.916077739,0.0,0.814487633,0.0,0.0,0.655477032,0.25795053,0.784452297,0.820671378,0.0,0.0,0.868374558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSD17B1,0.611111111,0.805555556,0.623015873,0.0,0.0,0.845238095,0.0,0.0,0.017857143,0.738095238,0.0,0.0,0.0,0.496031746,0.662698413,0.0,0.0,0.64484127,0.0,0.0,0.0,0.886904762,0.0,0.728174603,0.0,0.0,0.0,0.0
HSP90AA1,0.0,0.0,0.558685446,0.0,0.0,0.79342723,0.0,0.0,0.798122066,0.0,0.0,0.0,0.313380282,0.0,0.0,0.647887324,0.300469484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688967136,0.0,0.67370892,0.0
IDH1,0.294036061,0.629680999,0.39667129,0.642857143,0.735090153,0.565880721,0.264909847,0.0,0.0,0.839112344,0.0,0.063106796,0.0,0.0,0.0,0.0,0.0,0.853675451,0.0,0.21220527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INSR,0.0,0.0,0.855140187,0.380062305,0.0,0.0,0.588785047,0.657320872,0.0,0.0,0.61682243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778816199,0.361370717,0.0,0.61682243,0.0,0.0,0.0,0.0,0.0,0.0
JAK2,0.4227302,0.196394076,0.406310367,0.765614939,0.220862846,0.611075338,0.0,0.862202189,0.0,0.704764971,0.812620734,0.0,0.0,0.484867997,0.0,0.408242112,0.234385061,0.0,0.641983258,0.428847392,0.935286542,0.840952994,0.640051513,0.0,0.0,0.0,0.0,0.0
JUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082089552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNH2,0.680214724,0.571574642,0.711145194,0.927402863,0.610429448,0.507668712,0.692229039,0.724948875,0.692740286,0.515337423,0.862730061,0.711656442,0.638548057,0.227505112,0.497443763,0.940184049,0.312116564,0.441845603,0.28093047,0.0,0.0,0.461912065,0.014698364,0.691973415,0.28706544,0.917816973,0.0,0.433921268
MAP2K1,0.0,0.093425606,0.0,0.0,0.0,0.0,0.0,0.505190311,0.505190311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567474048,0.0,0.0,0.35467128,0.91349481,0.0,0.0,0.053633218,0.0,0.0,0.0,0.0
MAPK1,0.496371553,0.480406386,0.521044993,0.284470247,0.527576197,0.0,0.0,0.699564586,0.0,0.447024673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973875181,0.0,0.0,0.0,0.0
MAPK11,0.0,0.429166667,0.7,0.0,0.0,0.0,0.429166667,0.0,0.0,0.0,0.833333333,0.0,0.0,0.041666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0.0,0.0
MAPK14,0.848966614,0.182034976,0.424483307,0.763116057,0.0,0.444356121,0.73290938,0.89745628,0.0,0.501589825,0.817170111,0.0,0.0,0.0,0.0,0.610492846,0.793322734,0.0,0.0,0.856915739,0.915739269,0.667329094,0.936406995,0.0,0.759936407,0.0,0.0,0.0
MAPK8,0.583653846,0.544230769,0.384615385,0.713461538,0.519230769,0.878846154,0.210576923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.463461538,0.757692308,0.060576923,0.0,0.0,0.0,0.273076923,0.0,0.0,0.0
MAPK9,0.0,0.0,0.707070707,0.0,0.0,0.254208754,0.0,0.0,0.0,0.085858586,0.0,0.388888889,0.0,0.0,0.0,0.0,0.912457912,0.0,0.0,0.875420875,0.065656566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MC3R,0.0,0.0,0.201149425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MC4R,0.424796748,0.424796748,0.926829268,0.0,0.532520325,0.363821138,0.0,0.0,0.004065041,0.540650407,0.0,0.424796748,0.0,0.0,0.0,0.0,0.0,0.0,0.951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCHR1,0.668304668,0.788697789,0.514742015,0.408476658,0.814496314,0.906633907,0.0,0.0,0.558968059,0.615479115,0.0,0.671990172,0.91031941,0.211302211,0.0,0.778869779,0.0,0.218673219,0.0,0.0,0.0,0.986486486,0.861179361,0.355036855,0.934889435,0.0,0.834152334,0.819410319
MMP14,0.174796748,0.37195122,0.495934959,0.213414634,0.0,0.788617886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577235772,0.0,0.079268293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863821138,0.764227642
MMP2,0.543554007,0.680603949,0.550522648,0.881533101,0.504065041,0.766550523,0.736933798,0.0,0.671312427,0.448896632,0.0,0.0,0.111498258,0.0,0.869918699,0.732868757,0.0,0.506387921,0.191637631,0.0,0.736933798,0.0,0.0,0.0,0.0,0.0,0.362369338,0.0
MMP9,0.320785597,0.369885434,0.0,0.751227496,0.0,0.587561375,0.801963993,0.0,0.574468085,0.0,0.0,0.0,0.441898527,0.0,0.698854337,0.662847791,0.0,0.0,0.047463175,0.0,0.751227496,0.0,0.0,0.0,0.0,0.0,0.721767594,0.0
MYC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOS1,0.370535714,0.0,0.0,0.0,0.709821429,0.0,0.299107143,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOS2,0.0,0.0,0.090725806,0.0,0.0,0.463709677,0.0,0.0,0.0,0.090725806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.620967742,0.0,0.0,0.0,0.0
NR1H4,0.620805369,0.154362416,0.0,0.0,0.590604027,0.0,0.063758389,0.214765101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567114094,0.0,0.0,0.154362416,0.0
NR3C1,0.708201893,0.441640379,0.657728707,0.0,0.976340694,0.0,0.902208202,0.399053628,0.869873817,0.0,0.596214511,0.0,0.0,0.879337539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.791009464,0.0,0.0,0.0,0.0
OPRD1,0.676375405,0.414239482,0.935275081,0.72815534,0.0,0.001618123,0.550161812,0.0,0.0,0.935275081,0.0,0.0,0.0,0.0,0.990291262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.370550162,0.0,0.754045307,0.0,0.0,0.0
OPRK1,0.491803279,0.702576112,0.0,0.578454333,0.304449649,0.0,0.0,0.771662763,0.351288056,0.0,0.204918033,0.173302108,0.837236534,0.341920375,0.600702576,0.0,0.270491803,0.706088993,0.683840749,0.0,0.0,0.0,0.62763466,0.0,0.0,0.0,0.0,0.754098361
OPRM1,0.444964871,0.634660422,0.0,0.772833724,0.285714286,0.0,0.18969555,0.0,0.0,0.0,0.914519906,0.0,0.299765808,0.281030445,0.777517564,0.0,0.55971897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXTR,0.619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGR,0.473594549,0.531516184,0.61669506,0.868824532,0.499148211,0.353492334,0.0,0.475298126,0.0,0.214650767,0.022146508,0.0,0.0,0.0,0.764054514,0.93867121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1439523,0.0,0.0,0.0,0.890971039
PLK1,0.0,0.0,0.0,0.0,0.454545455,0.0,0.0,0.842751843,0.047911548,0.0,0.0,0.178132678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78009828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPARD,0.0,0.0,0.947368421,0.0,0.833333333,0.0,0.0,0.347953216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856725146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666667,0.0
PPARG,0.364683301,0.491362764,0.401151631,0.891554702,0.499040307,0.748560461,0.0,0.0,0.595009597,0.0,0.859884837,0.0,0.245681382,0.809980806,0.0,0.0,0.0,0.846449136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665067179,0.0
PTGS2,0.472420506,0.341985724,0.646982479,0.425697599,0.426995457,0.873458793,0.351070733,0.833225178,0.571706684,0.61064244,0.553536665,0.377027904,0.960415315,0.0,0.556132382,0.170668397,0.0,0.0,0.0,0.0,0.418559377,0.0,0.0,0.932511356,0.0,0.0,0.941596366,0.726151849
RAF1,0.0,0.0,0.0,0.403141361,0.433246073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138743455
ROCK2,0.330122592,0.915936953,0.960595447,0.0,0.814360771,0.795096322,0.933450088,0.714535902,0.50262697,0.07793345,0.563922942,0.933450088,0.45709282,0.802101576,0.0,0.0,0.0,0.0,0.0,0.0,0.727670753,0.0,0.401926445,0.0,0.756567426,0.0,0.0,0.0
RORC,0.948818898,0.726659168,0.586051744,0.87064117,0.898762655,0.268841395,0.661417323,0.506186727,0.0,0.0,0.825646794,0.0,0.827896513,0.0,0.0,0.687289089,0.837457818,0.951631046,0.0,0.0,0.876265467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXRA,0.0,0.0,0.181318681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SELE,0.049019608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC6A3,0.857791225,0.447806354,0.735249622,0.0,0.556732224,0.0,0.155824508,0.052950076,0.0,0.620272315,0.0,0.598335855,0.306354009,0.639183056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363842663,0.560514372,0.0,0.0,0.0,0.0
SRC,0.212087912,0.428571429,0.0,0.749450549,0.625274725,0.382417582,0.447802198,0.949450549,0.243406593,0.0,0.512087912,0.36043956,0.635714286,0.898351648,0.601098901,0.450549451,0.0,0.0,0.0,0.396703297,0.56043956,0.680769231,0.714285714,0.0,0.0,0.939010989,0.0,0.0
STAT3,0.745014245,0.626780627,0.998575499,0.296296296,0.0,0.915954416,0.122507123,0.296296296,0.645299145,0.0,0.0,0.0,0.0,0.0,0.394586895,0.814814815,0.0,0.41025641,0.0,0.0,0.0,0.809116809,0.0,0.0,0.0,0.122507123,0.0,0.0
TGFBR1,0.833333333,0.0,0.708333333,0.0,0.0,0.0,0.0,0.0,0.0,0.212797619,0.0,0.0,0.0,0.0,0.0,0.0,0.032738095,0.44047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THRB,0.0,0.633333333,0.0,0.026666667,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.923333333,0.0,0.0
VDR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
